Financial Year,period,lost_customer_hours,period_end,month,avg_max_temp,avg_min_temp,total_rainfall,avg_sunshine,avg_humidity
2018/19,5,2596055.319999999,2018-08-18,2018-08-01,244.25806451612902,145.09677419354838,482.0,58.74193548387097,67.70967741935483
2019/20,5,3549064.0500000054,2019-07-21,2019-08-01,250.6451612903226,140.7741935483871,336.0,64.90322580645162,68.25806451612904
2011/12,6,2462085.3499999996,2011-09-17,2011-09-01,215.8,124.06666666666666,350.0,53.733333333333334,76.6896551724138
2012/13,6,1100217.39,2012-09-15,2012-09-01,197.7,102.76666666666667,412.0,59.63333333333333,71.26666666666667
2013/14,6,1401638.12,2013-09-14,2013-09-01,194.9,111.36666666666666,496.0,39.63333333333333,77.2
2014/15,6,2111445.069999991,2014-09-13,2014-09-01,215.46666666666667,127.66666666666667,108.0,44.86666666666667,73.6
2015/16,6,1673474.25,2015-09-19,2015-09-01,186.2,101.63333333333334,500.0,54.1,75.9
2016/17,6,2199866.180000005,2016-09-17,2016-09-01,220.6,136.76666666666668,422.0,40.7,76.16666666666667
2017/18,6,2434940.760000006,2017-09-16,2017-09-01,190.76666666666668,109.93333333333334,590.0,40.03333333333333,79.46666666666667
2018/19,6,1920940.2400000012,2018-09-15,2018-09-01,206.46666666666667,109.63333333333334,294.0,65.0,69.2
2019/20,6,3711898.379999993,2019-08-18,2019-09-01,212.23333333333332,118.26666666666667,630.0,52.266666666666666,71.46666666666667
2011/12,7,2155101.939999999,2011-10-15,2011-10-01,177.06451612903226,100.93548387096774,184.0,45.29032258064516,76.09677419354838
2012/13,7,1253384.81,2012-10-13,2012-10-01,140.06451612903226,79.61290322580645,884.0,27.612903225806452,83.48387096774194
2013/14,7,1684079.5699999996,2013-10-12,2013-10-01,168.83870967741936,105.64516129032258,814.0,28.903225806451612,82.54838709677419
2014/15,7,1787749.74,2014-10-11,2014-10-01,174.58064516129033,109.87096774193549,760.0,33.483870967741936,80.2258064516129
